 2023-12-30 18:33:04,160 - 'a'
 2023-12-30 18:33:04,230 - 's'
 2023-12-30 18:33:04,281 - 'd'
 2023-12-30 18:33:04,598 - Key.alt_l
 2023-12-30 18:33:04,668 - Key.tab
 2023-12-30 18:33:05,399 - Key.alt_l
 2023-12-30 18:33:05,488 - Key.tab
 2023-12-30 18:33:09,076 - 'a'
 2023-12-30 18:33:09,147 - 's'
 2023-12-30 18:33:09,216 - 'd'
 2023-12-30 18:33:09,429 - 'a'
 2023-12-30 18:33:09,479 - 's'
 2023-12-30 18:33:09,579 - 'd'
 2023-12-30 18:33:09,628 - 's'
 2023-12-30 18:33:09,678 - 'a'
 2023-12-30 18:33:09,817 - 'd'
 2023-12-30 18:33:10,962 - 'a'
 2023-12-30 18:33:11,018 - 's'
 2023-12-30 18:33:11,107 - 'd'
 2023-12-30 18:33:11,276 - 'a'
 2023-12-30 18:33:11,305 - 's'
 2023-12-30 18:33:11,359 - 'd'
 2023-12-30 18:33:12,529 - 'a'
 2023-12-30 18:33:12,642 - 's'
 2023-12-30 18:33:12,688 - 'd'
 2023-12-30 18:33:12,857 - 's'
 2023-12-30 18:33:12,947 - 'd'
 2023-12-30 18:33:13,160 - 'a'
 2023-12-30 18:33:13,162 - 's'
 2023-12-30 18:33:13,733 - Key.enter
 2023-12-30 18:33:27,362 - Key.ctrl_l
 2023-12-30 18:33:27,474 - '\x03'
 2023-12-30 18:33:27,901 - Key.ctrl_l
 2023-12-30 18:33:28,017 - '\x03'
 2023-12-30 18:33:28,234 - '\x03'
 2023-12-30 18:33:28,440 - '\x03'
 2023-12-30 18:33:28,684 - '\x03'
